home_ranking,away_ranking,ranking_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_total,is_neutral,result
100,100,0,0.4,0.4,0.0,2.7,2.4,1.0,0.0,0.0,1,1,2
100,100,0,0.4,0.2,0.2,2.0,1.7,0.34375,0.1875,0.46875,32,0,2
100,100,0,0.5,0.3333333333333333,0.16666666666666669,3.3,3.0,0.33,0.33,0.33,0,1,2
100,100,0,0.7,0.4,0.29999999999999993,2.6,1.5,1.0,0.0,0.0,2,1,2
100,100,0,0.2,0.4,-0.2,1.4,2.3,0.0,1.0,0.0,1,1,2
100,100,0,0.5,0.3,0.2,2.3,1.6,0.6363636363636364,0.18181818181818182,0.18181818181818182,22,1,0
100,100,0,0.5,0.5,0.0,3.0,2.7,0.33,0.33,0.33,0,1,1
100,100,0,0.3,0.3,0.0,1.4,2.2,0.33,0.33,0.33,0,1,0
100,100,0,0.5,0.7,-0.19999999999999996,2.2,2.4,0.25,0.1875,0.5625,16,0,0
100,100,0,0.6,0.4,0.19999999999999996,3.9,1.9,0.6470588235294118,0.11764705882352941,0.23529411764705882,17,1,2
100,100,0,0.5,0.4,0.09999999999999998,2.7,2.3,0.0,1.0,0.0,1,1,2
100,100,0,0.6,0.8,-0.20000000000000007,2.8,2.5,0.33,0.33,0.33,0,1,0
100,100,0,0.7,0.4,0.29999999999999993,4.0,3.0,0.5,0.3,0.2,10,1,2
100,100,0,0.6,0.3,0.3,2.7,2.7,0.33,0.33,0.33,0,1,2
100,100,0,0.8,0.8,0.0,4.3,2.5,0.2,0.26666666666666666,0.5333333333333333,15,1,0
100,100,0,0.2,0.3,-0.09999999999999998,1.6,1.2,0.25,0.0,0.75,4,1,0
100,100,0,0.6,0.4,0.19999999999999996,2.6,2.0,1.0,0.0,0.0,1,0,2
100,100,0,0.3333333333333333,0.3,0.033333333333333326,2.0,1.6,0.33,0.33,0.33,0,1,0
100,100,0,0.6,0.1,0.5,3.0,1.6,0.5,0.5,0.0,2,0,2
100,100,0,0.1,0.3,-0.19999999999999998,1.6,2.0,0.08333333333333333,0.0,0.9166666666666666,12,1,0
100,100,0,0.7,0.3,0.39999999999999997,3.1,1.6,0.5,0.0,0.5,2,0,2
100,100,0,0.1,0.2857142857142857,-0.1857142857142857,1.7,1.7142857142857142,0.33,0.33,0.33,0,1,2
100,100,0,0.3,0.4,-0.10000000000000003,1.6,2.1,0.5333333333333333,0.13333333333333333,0.3333333333333333,15,1,0
100,100,0,0.25,0.3,-0.04999999999999999,1.625,1.6,0.33,0.33,0.33,0,1,0
100,100,0,0.8,0.4,0.4,3.2,2.0,0.0,0.0,1.0,5,0,2
100,100,0,0.2,0.2222222222222222,-0.0222222222222222,2.0,1.5555555555555556,1.0,0.0,0.0,1,0,2
100,100,0,0.3,0.7,-0.39999999999999997,2.4,2.9,0.0,0.3333333333333333,0.6666666666666666,3,0,2
100,100,0,0.2,0.6,-0.39999999999999997,1.4,2.6,0.0,0.0,1.0,1,1,0
100,100,0,0.6,0.6,0.0,2.7,2.0,0.7142857142857143,0.2857142857142857,0.0,7,1,2
100,100,0,0.6,0.2,0.39999999999999997,2.6,1.3,0.33,0.33,0.33,0,1,2
100,100,0,0.4,0.7,-0.29999999999999993,2.4,3.0,0.07142857142857142,0.0,0.9285714285714286,14,0,0
100,100,0,0.7,0.7,0.0,3.0,2.6,0.4144144144144144,0.22522522522522523,0.36036036036036034,111,1,2
100,100,0,0.1,0.5,-0.4,1.2,1.8,0.0,0.0,1.0,2,1,0
100,100,0,0.5,0.6,-0.09999999999999998,2.0,2.3,0.16666666666666666,0.0,0.8333333333333334,6,1,0
100,100,0,0.4,0.7,-0.29999999999999993,2.2,2.6,0.0,0.1,0.9,20,0,0
100,100,0,0.6,0.3,0.3,2.2,1.8,0.9333333333333333,0.0,0.06666666666666667,15,0,2
100,100,0,0.8,0.2,0.6000000000000001,2.7,1.3,0.6774193548387096,0.22580645161290322,0.0967741935483871,31,1,2
100,100,0,0.3,0.2,0.09999999999999998,1.9,1.5,0.6666666666666666,0.3333333333333333,0.0,6,1,2
100,100,0,0.8,0.3,0.5,2.6,2.1,0.5416666666666666,0.16666666666666666,0.2916666666666667,24,1,2
100,100,0,0.2,0.4,-0.2,1.6,1.5,0.3333333333333333,0.0,0.6666666666666666,3,1,1
100,100,0,0.7,0.1,0.6,2.7,1.1,1.0,0.0,0.0,2,0,2
100,100,0,0.3,0.3,0.0,2.1,1.3,1.0,0.0,0.0,1,1,2
100,100,0,0.8,0.0,0.8,2.6,0.6,1.0,0.0,0.0,1,1,2
100,100,0,0.2,0.1,0.1,1.5,1.2,0.3333333333333333,0.0,0.6666666666666666,6,1,0
